,text,selected_text,sentiment,Age of User,Country
13250,_ person_dreamer wow you still have nt gotten them,"_dreamer wow, you still haven`t gotten them?",neutral,31-45,Lesotho
13251,off to dollarama i wish i had a new job,wish,positive,46-60,Liberia
13252,ouch does picking your nose count,ouch,negative,60-70,Libya
13253,thank god it is date_friday i do nt like product_NUMBER product_hour workdays i need to stand up run around for a while too much sitting plus i have honest ade tea date_day yay,don`t like,negative,70-100,Liechtenstein
13254,wow ca nt believe date_monday is here again already i hope everyone is well date_today,hope,positive,0-20,Lithuania
13255,hoping date_the date_day gets better now,hoping,positive,21-30,Luxembourg
13256,my car broke down time to start looking at getting another if its not one thing its another,broke down.,negative,31-45,Madagascar
13257,just been in the garden but i was being attacked by bugs so i came inside,just been in the garden but i was being attacked by bugs so i came inside,neutral,46-60,Malawi
13258,sorry guys i have to drop out of the trip some personal commitments,sorry,negative,60-70,Malaysia
13259,soo sleepy but got to finish this game lol gett it cavs whoop whoop,soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop,neutral,70-100,Maldives
13260,boo i ca nt sleep again saying hi to random people,boo!,negative,0-20,Mali
13261,about to go to bed happy mothers day ladies especially all th s who takin care of thier kids alonen i love you momma,happy mother`s day ladies,positive,21-30,Malta
13262,once again i am looking for a new beard it just fell out the window any bright green ones this time,once again i am looking for a new beard - it just fell out the window  any bright green ones this time?,neutral,31-45,Marshall Islands
13263,i m feeling better now that i have something in my tummy,i`m feeling better now,positive,46-60,Mauritania
13264,just donated booksmags for charity not only do i feel good but it gave me a good workout from all that heavy lifting,not only do i feel good but it gave me a good workout,positive,60-70,Mauritius
13265,month ahaha and i I do not know if i can go org_moro laughing my ass off because i went date_today freakin language_filipino parents aha,1 month ahaha. and i dunno if i can go tomorrow lmao cause i went today  freakin filipino parents aha,neutral,70-100,Mexico
13266,my thumb hurts after breaking the nail,hurts,negative,0-20,Micronesia
13267,yea i was just about to say something its great to hear ukrainian,s great,positive,21-30,Moldova
13268,aww thank you you re welcome laughing out loud,"awww, thank you!",positive,31-45,Monaco
13269,you drank it on the sly did nt you and that s why you re asking i know how you are,"you drank it on the sly,",negative,46-60,Mongolia
13270,with that said i m out until later enjoy your day everyone,"with that said, i`m out til later. enjoy your day everyone!",positive,60-70,Montenegro
13271,s going to disney world lucky,"`s going to disney world, lucky ****.",positive,70-100,Morocco
13272,i feel useless i do nt know what to do right now i m so bored,useless,negative,0-20,Mozambique
13273,ugh cramps and its hot,ugh cramps,negative,21-30,Myanmar (formerly Burma)
13274,getting ready for my graduation party i d much rather be at hello marquee or dane cook,id much rather be at,negative,31-45,Namibia
13275,yeah i suppose,yeah... i suppose,neutral,46-60,Nauru
13276,i think you should come back to brisbane australia we loved you here,we loved you here,positive,60-70,Nepal
13277,you re watching gpe_fireprof,you`re watching firepro0f?,neutral,70-100,Netherlands
13278,time for some halo then,time for some halo3 then?,neutral,0-20,New Zealand
13279,i hate snood lol sorry i do not know how people play it,sorrry,negative,21-30,Nicaragua
13280,_ educator thanks photos look great ill comment them as soon as possible,thanks.,positive,31-45,Niger
13281,what i would have done with legless stillborn spaniels no idea but i was sad so now NUMBERyrs later strawberries dead puppies,"sad,",negative,46-60,Nigeria
13282,hand hurts,hand hurts,negative,60-70,North Korea
13283,the best bike for the best guy i love the ducati sound i think itãââ½s unnecessary to ask for a ride isnãââ½ nice Video,best,positive,70-100,North Macedonia
13284,screw it going back to bedill just go org_moro kind of sad,sad,negative,0-20,Norway
13285,okay i m seriously bored i have nothing to do i ca nt go out because its raining,okay i`m seriously bored. i have nothing to do. i can`t go out cause it`s raining.,negative,21-30,Oman
13286,good night peeps give to your moms the greatest love you have,greatest love,positive,31-45,Pakistan
13287,person_john more present than ever even online org_NUMBER,john - more present than ever- even online  #edumedia09,neutral,46-60,Palau
13288,dang my voice will not came out and my snots is covering all my tissues dangit i hate flu,hate,negative,60-70,Palestine State
13289,ecaytrade people who said you d come by stuff at org_NUMBERwhere are you bugs me when people noshow,ecaytrade people who said you`d come by stuff at 6:30..where are you ? bugs me when people no-show,neutral,70-100,Panama
13290,watching the killers on jr they are awesome too late though they just cut the programme mid song it was my favourite too,they are awesome. too late though.,neutral,0-20,Papua New Guinea
13291,tiffany is already time_ten time_minutes late reading flowers in the attic late breakfast at starbucks listening to waking up in vegas,1.tiffany is already ten minutes late 2.reading flowers in the attic 3.late breakfast at starbucks 4.listening to waking up in vegas,neutral,21-30,Paraguay
13292,why did i get airbrushed if soon as i put my dress on it messed it up a littleerr,"why did i get airbrushed ****, if soon as i put my dress on it messed it up a little...eerrrr",neutral,31-45,Peru
13293,date_our date_weekend was also great cardinal_two friends of julia were here for date_four date_days,great.,positive,46-60,Philippines
13294,just cardinal_one of date_those date_days i pray it will get better,pray,positive,60-70,Poland
13295,hmm okayy Instant Message really sorry to hear about it why do you thikn she would have done that s,really sorry,negative,70-100,Portugal
13296,done with classes and packing for the atlanits i hope mileys there,done with classes and packing for the atlanits!! i hope miley`s there,neutral,0-20,Qatar
13297,too days after allweb i m still tired,tired,negative,21-30,Romania
13298,off to study later guys,off to study!  later guys,neutral,31-45,Russia
13299,parts of me are starting to feel the effects of over tanning,over tanning,negative,46-60,Rwanda
13300,ichigo has been good at pingpooping outside but not used to the fact he does nt have his sister lonely puppy,lonely,negative,60-70,Saint Kitts and Nevis
13301,ahh i got to go but please help me with number ill come back later to see what you said haha please and thank you,nd thank,positive,70-100,Saint Lucia
13302,is in bed not able to sleep bloody bipolar,bloody,negative,0-20,Saint Vincent and the Grenadines
13303,no i have not got mine yet did you get yours,"no i havent got mine yet, did u get yours?",neutral,21-30,Samoa
13304,date_today person_dan person_bought me bio dome and the reality bites soundtrack needless to say he gets mayjah points also my tummy is not happy boo,", my tummy is not happy. boo.",negative,31-45,San Marino
13305,order pizza from the pizza girl we have to sing about it i love that new song so excited for the new song from jailbait paranoid for date_days,i love that new song,positive,46-60,Sao Tome and Principe
13306,has britney spears songs all over his desktop now,has britney spears  songs all over his desktop now,neutral,60-70,Saudi Arabia
13307,date_sanctuarysunday Favorite character has to be ashley why because she s awesome,e she`s awesome,positive,70-100,Senegal
13308,now if i still lived that way you could pop in and see me but i do nt so you ca nt,now if i still lived that way you could pop in and see me  but i don`t so you can`t,neutral,0-20,Serbia
13309,i want a monte cristo sandwich soo bad,i want a monte cristo sandwich sooo... bad!!!,positive,21-30,Seychelles
13310,grr people suck i cry when animals die on nature shows these people are sick no hunting endangered species,suck.,negative,31-45,Sierra Leone
13311,no clue what the fk Instant Message doing,no clue wtf im doing,negative,46-60,Singapore
13312,moshing to fall out boy and confetti bears are falling from the sky,"moshing to fall out boy, and confetti bears are falling from the sky",neutral,60-70,Slovakia
13313,licking chocolate crumbs off a twirl wrapper like person_zammo on smack,licking chocolate crumbs off a twirl wrapper like zammo on smack,neutral,70-100,Slovenia
13314,i love being ignored except to be yelled at i love my life,i love being ignored except to be yelled at. i love my life.,neutral,0-20,Solomon Islands
13315,demi is a super girl but she do nt like the norp_french fans,demi is a super girl but she don`t like the french fans,neutral,21-30,Somalia
13316,i ve had the week off toobut i have biology exams to revise for so my bones time is limited,i`ve had the week off too...but i have biology  exams to revise for so my bones time is limited,neutral,31-45,South Africa
13317,miss you too yes i will i m usually free Parents Are Gone after dinner rarely during the date_day norp_basta text text,"miss you too! yes, i will  i`m usually free pag after dinner. rarely during the day",neutral,46-60,South Korea
13318,no southland date_this date_week,no southland this wk,neutral,60-70,South Sudan
13319,is watching bruce almighty,is watching bruce almighty,neutral,70-100,Spain
13320,dohforgot the ferry turns around before going so much for sitting in the sun and the other side deck is closed,d`oh...forgot the ferry turns around before going. so much for sitting in the sun. and the other side deck is closed.,neutral,0-20,Sri Lanka
13321,org_noo org_worst org_news ever date_today my tattoo artist is moving oh my God what am i going to do,noooooo worst news,negative,21-30,Sudan
13322,_ the_heck haha laughing out loud at the language_english work they doo in college,haha lol @ the english work they doo in college,positive,31-45,Suriname
13323,i want my ben and jerrys now lol tweet people Instant Message bored,"lol, tweet people im bored",neutral,46-60,Sweden
13324,time for work,time for work!,neutral,60-70,Switzerland
13325,that was a by the way _,(that was a  btw -_-),neutral,70-100,Syria
13326,thanks i decided to just give up on my old hq and go with this account scoundrels won,thanks i decided to just give up on my old hq and go with this account. scoundrels won,neutral,0-20,Tajikistan
13327,liesboystell buzy date_this date_week,buzy this week,neutral,21-30,Tanzania
13328,person_omg person_star wars day may the ordinal_fourth be with you everyone this calls for me to watch at least film time_tonight,may the fourth be with you,positive,31-45,Thailand
13329,he did not leave a voicemail gpe_NUMBERinlove,he didnt leave a voicemail..  -121908inlove(:,neutral,46-60,Timor-Leste
13330,hehe true i wonder what he will come up with,. i wonder what he will come up with,positive,60-70,Togo
13331,sure i would like some cream right now,sure i would like,positive,70-100,Tonga
13332,here its org_NUMBER am and i m at home after a night in a pub,"here it`s 3:34  a.m. and i`m at home, after a night in a pub",neutral,0-20,Trinidad and Tobago
13333,its easyjust turn your keyboard upside down,easy.,positive,21-30,Tunisia
13334,that was an amazing concert got some really good video and pictures,amazing,positive,31-45,Turkey
13335,what kind of coach would i be if i did nt read all your tweets still waiting on an nondried afro picture,what kind of coach would i be if i didn`t read all your tweets?    still waiting on an non-dried afro picture,neutral,46-60,Turkmenistan
13336,everyone has left me and gone to bed,everyone has left me,negative,60-70,Tuvalu
13337,what a meeting yay more work for me,yay,positive,70-100,Uganda
13338,its time for kathleen to go to bed norp_waay past time do nt expect to hear from me before time_noon laughing out loud have a blessed morning,have a blessed morning.,neutral,0-20,Ukraine
13339,_ person_beckwith it can not be that good if your twittering instead of watching it,it cant be that good,negative,21-30,United Arab Emirates
13340,_ joyner and he ca nt even tell me me and him are done professionally,"me and him are **** done,",negative,31-45,United Kingdom
13341,misses her phone having no service sucks,having no service sucks,negative,46-60,United States of America
13342,Instant Message so proud of you,proud of you,positive,60-70,Uruguay
13343,is at work ohwell need money so d,is at work  ohwell need money so : d,neutral,70-100,Uzbekistan
13344,holy where did all my time go gta has sucked away my life and wasted date_a date_whole date_week i wish i had more self control,sucked away,negative,0-20,Vanuatu
13345,we watched the date_today show we did not see you though,we didnt see you though,negative,21-30,Venezuela
13346,pub crawling through any pdx,pub crawling through ne pdx,neutral,31-45,Vietnam
13347,my cat died of kidney failure during my math test date_this date_day needs to get better,my cat died of kidney failure during my math test  this day needs to get better.,neutral,46-60,Yemen
13348,waa they kicked us out of the bank getting it until date_monday oh my God chilito,kicked,negative,60-70,Zambia
13349,is going to be in gpe_cincinnati date_all date_day sundayvisitin with an old friendbrother from gpe_korea then a date with someone special,a date with someone special,positive,70-100,Zimbabwe
13350,just got home from staceys lovely wedding,lovely wedding,positive,0-20,Afghanistan
13351,probably going to miss silverstones race again date_this date_season in iracing so sad this track is pure laser scanned awesomeness,"probably going to miss silverstone`s race again this season in iracing , so sad   this track is pure laser scanned awesomeness",neutral,21-30,Albania
13352,i could nt eat all my nuggets finish them for me,i couldn`t eat all my nuggets  finish them for me.,neutral,31-45,Algeria
13353,its date_friday but its only date_friday time_morning ugh,ugh.,negative,46-60,Andorra
13354,person_linda what do you mean by your last post it does nt sound good,?  it doesn`t sound goo,negative,60-70,Angola
13355,working date_my date_day date_weekend is over aah well another cardinal_one coming in too date_weeks,"working, my 4-day weekend is over, aah well another one coming in 2 weeks",neutral,70-100,Antigua and Barbuda
13356,thanks i could nt find a way around it on itunes though found a little application called switch that did the job nicely,nicely,positive,0-20,Argentina
13357,hi lyndon if you get this before pm monday work_of_art_NUMBER may i have mail for you from via tasmania deathmatch me,hi lyndon - if you get this before 4pm monday 11 may - i have mail for you from  via tasmania. dm me,neutral,21-30,Armenia
13358,haha ok tell me when you remember,haha kk tell me when u remember,neutral,31-45,Australia
13359,ordering pizzas watching diggnation trying out tweetdeck all is good,all is good,positive,46-60,Austria
13360,hehe,hehe,positive,60-70,Azerbaijan
13361,i m sorry you re not having date_the date_best date_day neither am i though are you working time_tonight,sorry,negative,70-100,Bahamas
13362,at homeeboring but its okiee going to see the boyfriend and his person_momma person_moro for person_momma person_dayy,at homee..boring but its okiee gonna see the boyfriend and his momma tomorrow for momma dayy,neutral,0-20,Bahrain
13363,aww its still not the same i m going to have a look though,awww it`s still not the same  i`m going to have a look though.,neutral,21-30,Bangladesh
13364,eating at zippys with candace,eating at zippys with candace!,neutral,31-45,Barbados
13365,nope but the ti looks super sweet,ks super sweet!,positive,46-60,Belarus
13366,is watching cardinal_two a cardinal_half men work experience again org_moro,"is watching two + a half men, work experience again tomorrow",neutral,60-70,Belgium
13367,just dropped my new mobile down the loo fingers crossed it works as i still have norp_NUMBERmths left on the contract,fingers crossed,positive,70-100,Belize
13368,ca nt wait to come home i miss my bubba too bad my parents are taking him to gpe_canada,can`t wait to come home! i miss my bubba. too bad my parents are taking him to canada.,neutral,0-20,Benin
13369,person_george person_b person_shaw apparently wrote org_NUMBER words a day sure practice works the more you do the more it comes as nd nature,george b shaw apparently wrote 2000 words a day. sure practice works- the more you do the more it comes as 2nd nature,neutral,21-30,Bhutan
13370,i can understand,i can understand!,positive,31-45,Bolivia
13371,ahh that s fun i had work time_last time_night a party after went to the movies date_today to see wolverine was a good weekend,ahh that`s fun,positive,46-60,Bosnia and Herzegovina
13372,i ve been dead the past too daysthe flu sucks,sucks,negative,60-70,Botswana
13373,do not make me sad i do agree though it does need some more of sas magical lyrics,e sad,negative,70-100,Brazil
13374,here comes the sun here comes the sun and i say its all right,"here comes the sun, here comes the sun, and i say it`s all right",neutral,0-20,Brunei
13375,woot favourtie well ordinal_second favourite episode just came on tow ross and rachel you know,"favourtie,",positive,21-30,Bulgaria
13376,looks to be a great time_morning already,great,positive,31-45,Burkina Faso
13377,haha thanks,haha  thanks!,positive,46-60,Burundi
13378,at la fitness at work right nowpretty busy morning,"at la fitness, at work right now.....pretty busy morning",neutral,60-70,Cï¿½te d'Ivoire
13379,oh my God i found it thanks,omg   i found it  thn,positive,70-100,Cabo Verde
13380,for the gays i only made NUMBER time_tonight,for the gays i only made 200 tonight,neutral,0-20,Cambodia
13381,rest in peace marshall,rest in peace ma,negative,21-30,Cameroon
13382,my life is so exhilerating family kingdom is such a good summer sport and so is swimming in the ocean at night with person_kristin,exhilerating,positive,31-45,Canada
13383,we are all so proud of you i am seriously thinking of joining you date_next date_year got to get training,we are all so proud of you!,positive,46-60,Central African Republic
13384,i m not going to lie i m loving the ace of cakes woop lost,loving,positive,60-70,Chad
13385,morrissey will cure you i am jealous but not in a slash your tyres way just in a hope you enjoy it wish i cuold go way,morrissey will cure you  i am jealous. but not in a slash your tyres way just in a hope you enjoy it wish i cuold go way,neutral,70-100,Chile
13386,haha i just won a org_NUMBER bet i settled for org_NUMBER not bad,won,positive,0-20,China
13387,thinking about con law fighting a headache paying bills,"thinking about con law, fighting a headache, & paying bills...",neutral,21-30,Colombia
13388,good morning and thanks for the retweet,thanks,positive,31-45,Comoros
13389,leather jacketsuncomfortablenot my thing,uncomfortable..,negative,46-60,Congo (Congo-Brazzaville)
13390,we all need that simple reminderthanks,we all need that simple reminder-thx!,positive,60-70,Costa Rica
13391,is happy because my voice is back love,happy,positive,70-100,Croatia
13392,kill me now i m so sick and its date_friday time_night,i`m so sick,negative,0-20,Cuba
13393,i guess ill do both since i can not really decide which one to choose,i guess i`ll do both since i cant really decide which one to choose,neutral,21-30,Cyprus
13394,playing pet society,playing pet society,neutral,31-45,Czechia (Czech Republic)
13395,something like that,something like that,neutral,46-60,Democratic Republic of the Congo
13396,think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,negative,60-70,Denmark
13397,laughing out loud i said want to not ach dress up for no reason pleasee Instant Message bored laughing out loud,. pleaseeeeeeeeeeeeee im bored.,negative,70-100,Djibouti
13398,oh lovely that is one thing mums are great at sounds yummy you are makin me hungry here laughing out loud p,oh lovely,positive,0-20,Dominica
13399,good night everybody i love you phillip xo,good,positive,21-30,Dominican Republic
13400,yes i m originally from gpe_argentina and very mystic about that ãââ½ bientãââ½t de Team effort lire quincy,"yes, i`m originally from argentina. and very `mystic` about that  ...ã¯â¿â½ bientã¯â¿â½t de te lire quincy!",neutral,31-45,Ecuador
13401,oh man i was going to connect my old school nintendo to play mario games and is not in the bag i got to search for it,oh man !!,negative,46-60,Egypt
13402,idiotattove_liden thnks for the follow to have ddoodm idiot,idiotat)tove_liden th*nks for the follow tove!  (ddoodm) #idiot,neutral,60-70,El Salvador
13403,did you get your free chocolate i still have nt gotten my email,did you get your free chocolate?!? i still haven`t gotten my email.,neutral,70-100,Equatorial Guinea
13404,cool thanks for the response ill check out that firefox,cool thanks,positive,0-20,Eritrea
13405,good time_morning sunshine sleepytown is sleepy,good,positive,21-30,Estonia
13406,yeah its the org_ford focus titanium you only get the helicopter add on with the topend luxury models unfortunately,unfortunately,negative,31-45,"Eswatini (fmr. ""Swaziland"")"
13407,i ve worked my finger tips bare date_today coding but we got there,i`ve worked my finger tips bare today coding. but we got there.,neutral,46-60,Ethiopia
13408,i need to be sleeping but i m not even tired,i need to be sleeping.. but i`m not even tired..,neutral,60-70,Fiji
13409,hehe yeah me too or i would totally write it extreme droll,"hehe. yeah, me too.  or i would totally write it. xd",neutral,70-100,Finland
13410,sgt hughes has bacteria meningitis so i disinfected our female latrine and Instant Message writing an essay on meningitis for sgt ski,sgt. hughes has bacteria meningitis  so i disinfected our female latrine and im writing an essay on meningitis for sgt. ski....,neutral,0-20,France
13411,and that includes the chotachota stuff released by reflexie arcade too,and that includes the chota-chota stuff released by reflexie arcade too!,neutral,21-30,Gabon
13412,my followers went from org_NUMBER to org_NUMBER i d follow you back but i can not do anything till i get interwebnet i want more followers Instant Message interesting,interesting!,positive,31-45,Gambia
13413,dammit let us have a private session,dammit!,negative,46-60,Georgia
13414,photo great night URL,great,positive,60-70,Germany
13415,_ bba ooh nice well i guess not nice at the moment being windy and rainy but i like rain,nice,positive,70-100,Ghana
13416,but i love your haair,i love,positive,0-20,Greece
13417,aww poor jayk try to make the drive funand eat something soonhave a great show time_tonight i wish i could goi live too far,"awww poor jayk. :[ try to make the drive fun.and eat something soon!have a great show tonight i wish i could go,i live too far",neutral,21-30,Grenada
13418,i think i m about to break my own heart as emotional as that sounds meh,break,negative,31-45,Guatemala
13419,i need to play infamous where s a free blockbuster rental coupon when you need one i miss that org_coke reward,i miss,negative,46-60,Guinea
13420,sickk and i need NUMBERNUMBERnow,sickkkk,negative,60-70,Guinea-Bissau
13421,i am going to fail my art final fml this was by far the worst semester of my life school wise otherwise it was the best,fail my art final. fml. this was by far the worst semester of my life school wise- otherwise it was the best,neutral,70-100,Guyana
13422,somehow my alarm became an hour fast and i came to realize it as i was leaving the house it feels good having an early start,it feels good ha,positive,0-20,Haiti
13423,seriously i do not like girls,dont like,negative,21-30,Holy See
13424,this is fun haha reply guy from all norp_american rejects looks like he s on crack,this is fun,positive,31-45,Honduras
13425,time to wind down and relax a little i can only change the world a little through twitter time_each time_evening the rest will be up to others,time to wind down and relax a little.  i can only change the world a little through twitter each evening.  the rest will be up to others.,neutral,46-60,Hungary
13426,we do nt have either of those here,we don`t have either of those here.,neutral,60-70,Iceland
13427,person_hahaha i m driving so i leave roundabouts when i wake up date_tomorrow arrive time_proximately time_hours from then see yeah tmw,"hahaha. i`m driving, so i leave roundabouts when i wake up tomorrow. arrive proximately 5 hrs from then.  see ya tmw!",neutral,70-100,India
13428,nawill keep you in turns out you have the odd nugget of wisdom,you have the odd nugget of wisdom.,negative,0-20,Indonesia
13429,manim at a loss for wordslooks like i m a get an unexpected graduation giftin a good way,man.....i`m at a loss for words.....looks like i`ma get an unexpected graduation gift.....in a good way,positive,21-30,Iran
13430,just watched mall cop was nt that funny but was nt too bad i guess i kind of wish i still worked at a movie theater,"just watched mall cop. wasn`t that funny, but wasn`t too bad. i guess. i kinda wish i still worked at a movie theater..",neutral,31-45,Iraq
13431,org_boo finally i could get back on here my internet went out,booo. finally i could get back on here. my internet went out,neutral,46-60,Ireland
13432,goodnight lolsz,goodnight,positive,60-70,Israel
13433,well gracias haha and why is that the plays,s  haha,positive,70-100,Italy
13434,that sounds like the scariest zombie dream ever,scariest,negative,0-20,Jamaica
13435,where is,where is  ???,neutral,21-30,Japan
13436,see you date_october love the new book when s the next one out,love,positive,31-45,Jordan
13437,person_lolol i think its funny that about org_NUMBER people think you re lieing about being the real person_john person_barrowman,funny,positive,46-60,Kazakhstan
13438,thanks darling girl,thanks darling girl,positive,60-70,Kenya
13439,experiencing the unique winnipeg tradition known as the social trying to pace myself,trying to pace myself.,positive,70-100,Kiribati
13440,i miss my daddy,miss,negative,0-20,Kuwait
13441,stranded at fac_delhi fac_airport flight delayed,delayed,negative,21-30,Kyrgyzstan
13442,hey dude who turned down a flyer you re a poser and not nice,not nice,negative,31-45,Laos
13443,came back from bishopstorford went to my aunts wedding party by the way it was fun i got to see my cousins again after date_about date_years,it was fun!,positive,46-60,Latvia
13444,i must be the only fool in twitterland that does nt get retweet sadsville,fool,negative,60-70,Lebanon
13445,presentation went well yes i also met a buch of cool people checked your portfolio nice workdetails in the projects,"h of cool people. checked your portfolio, nice work/details in the project",positive,70-100,Lesotho
13446,except the fact that its been raining since date_wednesday and not supposed to stop till date_monday ew,"except the fact that it`s been raining since wednesday, and not supposed to stop till monday. ew.",negative,0-20,Liberia
13447,fb is boring and i want to sing right now,boring,negative,21-30,Libya
13448,back home preheatin oven before popping in a pizza,back home.  preheatin` oven before popping in a pizza,neutral,31-45,Liechtenstein
13449,you guys are So unfair smh,u guys are soo unfair smh...,negative,46-60,Lithuania
13450,i have no one to go to the spring show with,i have no one to go to the spring show with,neutral,60-70,Luxembourg
13451,i m considering buying cardinal_one of these hence the monk look URL,i`m considering buying one of these. hence the `monk',neutral,70-100,Madagascar
13452,date_just date_days left for the off NUMBER URL in oeiras portugal see you there,just 3 days left for the offf 2009 http://www.offf.ws/ in oeiras portugal... see you there,neutral,0-20,Malawi
13453,no idea offhand but if you keep tweeting about crowdsourcing graphics i m sure someone will tell you,"no idea offhand, but if you keep tweeting about crowdsourcing graphics i`m sure someone will tell you",neutral,21-30,Malaysia
13454,writing out to tape org_NUMBERhoursnz,writing out to tape.  #48hoursnz,neutral,31-45,Maldives
13455,feelin a little blue time_tonight love might be good,feelin a little blue tonight.. love might be good,neutral,46-60,Mali
13456,everything is good except that neck shot and steves back of the head shots,everything is good except that neck shot and steve`s back of the head shots!,neutral,60-70,Malta
13457,got firefox working again now i just have to get back all of my bookmarks,got firefox working again. now i just have to get back all of my bookmarks...,neutral,70-100,Marshall Islands
13458,_ org_NUMBER umnicks voicesmileeyeslaughand he s a great rolemodel,great,positive,0-20,Mauritania
13459,dear astop snoring and b move from the middle of the bed please,"dear  a)stop snoring and b) move from the middle of the bed, please.",neutral,21-30,Mauritius
13460,nothing to do time_tonight,nothing to do tonight.,neutral,31-45,Mexico
13461,on my way to the burial,on my way to the burial,neutral,46-60,Micronesia
13462,feeling any better hon,feeling any better hon?,neutral,60-70,Moldova
13463,spendin time with ant before he s gone for the night,spendin time with ant before he`s gone for the night,neutral,70-100,Monaco
13464,yahoo volleyball hiking eating a fish eye witnessing sleeping on the beach jumping rocks hanging where gpe_jurassic gpe_park was filmed,yahoo!,positive,0-20,Mongolia
13465,after time_NUMBER time_hours of not sleeping it is time for bed alaskaso far so good,alaska-so far so good,positive,21-30,Montenegro
13466,watching nemecek go on her computer fun laughing out loud i keed norms was fun,s fun,positive,31-45,Morocco
13467,the party has to be moved to date_next date_weekend stupid weather,..stupid weather.,negative,46-60,Mozambique
13468,yes its herr dude i m going to cry,"yes it`s herrrrr.  dude, i`m gonna **** cry.",negative,60-70,Myanmar (formerly Burma)
13469,aww my son gave me a purple g shock for mothers day,aww,positive,70-100,Namibia
13470,is listening to prima j rockstar so dang catchyy,is listening to prima j - rockstar so dang catchyy,neutral,0-20,Nauru
13471,why thankyou _ garner suggested fannie bay but it is in person_darwin,why thankyou  _garner suggested fannie bay (but it is in darwin),neutral,21-30,Nepal
13472,well i miss her i think she would really like it retrina,well i miss her i think she would really like it  re:trina,neutral,31-45,Netherlands
13473,presenting todayhope it leads to the ability to move up date_one date_day,hope,positive,46-60,New Zealand
13474,avatarcamp photos perhaps laughing out loud just itching to see them,"#avatarcamp photos, perhaps?  lol (just itching to see them!)",neutral,60-70,Nicaragua
13475,not gpe_feelin so hot,not feelin so hot,neutral,70-100,Niger
13476,_ mejer i could nt remember what all the different cords meant i lost cardinal_half of them leaving the graduation anyway,couldn`t remember wh,negative,0-20,Nigeria
13477,org_ohh org_emm gee souvlaki from dimitrisi want to go homee laughing out loud,ohh emmm geee.,positive,21-30,North Korea
13478,i spent time_an time_hour time_this time_morning going through yearbooks to see when each senior started to harleton my speech will be so boring,will be so boring.,negative,31-45,North Macedonia
13479,is off to work,is off to work,neutral,46-60,Norway
13480,mobile phone checkin another fail norp_americans service came close but crashed at the gate i m now for,fail!,negative,60-70,Oman
13481,date_last date_day i m la i am so so sad,sad,negative,70-100,Pakistan
13482,oops i did it againreally should not have,really shouldnt have.,negative,0-20,Palau
13483,will continue my dramathon episode NUMBER here i come,will continue my dramathon! episode 14 here i come!,neutral,21-30,Palestine State
13484,college cops they get suspicious when they see cardinal_more cardinal_than cardinal_one person in a group together,college cops: they get suspicious when they see more than one person in a group together.,neutral,31-45,Panama
13485,Instant Message feeling so nostalgic Instant Message sad but happy i do nt now how to feel its over but not at the same time it just feels over i love you,love,positive,46-60,Papua New Guinea
13486,i do too but not heavy rain which we ve had for more than a wk,heavy,negative,60-70,Paraguay
13487,yay boxing although after the boxing sparring eating have to spend the rest of the time_evening troubleshooting java code for hw,"yay! boxing!! although after the boxing, sparring & eating, have to spend the rest of the evening troubleshooting java code for hw.",neutral,70-100,Peru
13488,i suppose it has a certain org_NUMBERs charm i d personally hold out for the org_motorola track phone i like my phones chunky,i suppose it has a certain 80`s charm. i`d personally hold out for the motorola 8 track phone. i like my phones chunky,neutral,0-20,Philippines
13489,what do you mean jorx,what do you mean jorx?,neutral,21-30,Poland
13490,i hope they rerun this nerdprom later sounds like they re having lots of fun thanks all for the playbyplay,g lots of fun.,positive,31-45,Portugal
13491,in my room its too warm windows open but Instant Message still cooking,****,negative,46-60,Qatar
13492,good morning aww sorry that you were stuck in the airport for NUMBER time_hours,"good morning! aww, sorry that you were stuck in the airport for 12 hours!!",neutral,60-70,Romania
13493,yeah i should at least try myself have a good night visit with the chiro date_tomorrow,.  have a good night,positive,70-100,Russia
13494,up was soo good wood ranch be back quick time norp_dian deng product_pao,up was sooo gooooood.,positive,0-20,Rwanda
13495,i wish i could of been at commencement date_this date_year i wonder if they re really going to protest,wish,positive,21-30,Saint Kitts and Nevis
13496,never part of these follow fridays,never part of these follow fridays,neutral,31-45,Saint Lucia
13497,heard you slutted it up i m totally jealz i missed it maybe next time,heard you slutted it up!,negative,46-60,Saint Vincent and the Grenadines
13498,poor buddy being teased by mini puggy i think what you need is a pughug,"poor buddy, being teased by mini puggy  i think what you need is a #pughug",neutral,60-70,Samoa
13499,you do nt have to rub it in,you don`t have to rub it in.,neutral,70-100,San Marino
13500,not married any more silly man that was done long ago you do read my tweets barely escaped without paying him alimony,not married any more! silly man!,negative,0-20,Sao Tome and Principe
13501,i ca nt wait its most definately going to be amazing love michelle,i can`t wait! its most definately going to be amazing.  <3 michelle,positive,21-30,Saudi Arabia
13502,reminising on such a wonderful day date_yesterday with my family and my love nothing like shooting some basketball with the men in my life,such a wonderful day,positive,31-45,Senegal
13503,guess its a no go girlie i m still at the gym and work at NUMBERam,guess its a no go girlie. i`m still at the gym and work at 6:30am,neutral,46-60,Serbia
13504,does nt show how people are more conservative in blackjack,****,negative,60-70,Seychelles
