,Slang,Meaning
2178,idgara,I don't give a rat's ass
2179,idgas,i don't give a s**t
2180,idgi,I don't get it
2181,idjit,idiot
2182,idk,I don't know
2183,idkat,I don't know a thing
2184,idkau,I don't know about you
2185,idkbibt,I don't know but I've Been Told
2186,idke,I don't know ethier
2187,idkh,I don't know how
2188,idkh2s,i don't know how to spell
2189,idkr,i don't know right
2190,idkt,I don't know that
2191,idkw,I don't know why
2192,idkwiwdwu,I don't know what I would do without you
2193,idkwts,I don't know what to say
2194,idkwurta,I don't know what you are talking about.
2195,idkwym,I don't know what you mean
2196,idky,I don't know you
2197,idkyb,i don't know why but
2198,idkymb2,I didn't know yoru mom blogs too
2199,idl,I don't like
2200,idli,I don't like it
2201,idlu,i don't like you
2202,idly,I don't like you
2203,idlyitw,i don't like you in that way
2204,idm,I don't mind
2205,idmhw,im doing my homework
2206,idn,i don't know
2207,idnk,i don't know
2208,idno,i do not know
2209,idntk,i dont need to know
2210,idnwths,i do not want to have sex
2211,idonno,i do not know
2212,idop,it depends on price
2213,idot,idiot
2214,idr,I don't remember
2215,idrc,i don't really care
2216,idrfk,I don't really f**king know
2217,idrgaf,I don't really give a f**k
2218,idrgaff,i don't really give a flying f**k
2219,idrgas,i dont really give a s**t
2220,idrk,i don't really know
2221,idrktbh,i dont really know to be honest
2222,idrts,I don't really think so
2223,idsw,i don't see why
2224,idtis,I don't think I should
2225,idtkso,i don't think so
2226,idts,i don't think so
2227,idu,I don't understand
2228,iduatys,I didn't understand a thing you said
2229,idunno,i do not know
2230,iduwym,I don't understand what you mean.
2231,idw2,I don't want to
2232,idw2n,i don't want to know
2233,idwk,I don't wanna know
2234,idwt,i don't want to
2235,idwtg,I don't want to go
2236,idyat,idiot
2237,iebkac,issue exists between keyboard and chair
2238,ietf,internet engineering task force
2239,iff,if and only if
2240,ifhu,I f**king hate you
2241,ifhy,i f**king hate you
2242,ifk,I f**king know
2243,iflu,i f**king love you
2244,ifthtb,i find that hard to belive
2245,ifttt,if this then that 
2246,ifwis,I forgot what I said
2247,ifykyk,if you know you know
2248,ig,I guess
2249,ig2g,I got to go
2250,ig5oi,I got 5 on it 
2251,igahp,I've got a huge penis
2252,igalboc,I've got a lovely bunch of cocnuts
2253,igg,i gotta go
2254,ight,alright
2255,igkymfa,I'm gonna kick your mother f**king ass
2256,igs,I guess so
2257,igt,I Got This
2258,igtg,i've got to go
2259,igtgt,I got to go tinkle
2260,igtkya,im going to kick your ass
2261,igu,i give up
2262,igyb,I Got Your Back
2263,ih,it happens
2264,ih2gp,I have to go pee
2265,ih2p,i'll have to pass
2266,ih8,i hate
2267,ih8evry1,i hate everyone
2268,ih8mls,I hate my little sister 
2269,ih8p,I hate parents
2270,ih8tu,i hate you
2271,ih8u,I hate you
2272,ih8usm,i hate you so much
2273,ih8y,I hate you
2274,ihac,I have a customer
2275,ihat3u,I hate you
2276,IHDK,I Honestly Don't Know
2277,ihistr,i hope i spelled that right
2278,ihiwydt,I hate it when you do that
2279,ihml,I hate my life
2280,ihmp,i hate my parents
2281,ihnc,i have no clue
2282,ihnfc,I have no f**king clue
2283,ihni,i have no idea
2284,iht,I heard that
2285,ihtfp,I hate this f**king place
2286,ihtgttbwijd,"I have to go to the bathroom, wait I just did."
2287,ihtp,I Have To Poop
2288,ihtsm,i hate this so much
2289,ihtutbr,I have to use the bathroom
2290,ihu,I hate you
2291,ihurg,i hate your guts
2292,ihusb,i hate you so bad 
2293,ihusfm,i hate you so f**king much
2294,ihusm,i hate you so much
2295,ihy,i hate you
2296,ihya,i hate you all
2297,ihysm,I hate you so much
2298,ihysmrn,i hate you so much right now
2299,iigh,alright
2300,iight,alright
2301,iiok,is it okay
2302,iirc,if I recall correctly
2303,iistgtbtipi,If It Sounds Too Good To Be True It Probably Is
2304,iit,is it tight
2305,iitywimwybmad,if I tell you what it means will you buy me a drink
2306,iitywybmad,"if I tell you, will you buy me a drink?"
2307,iiuc,if I understand correctly
2308,iiw2,is it web 2.0?
2309,iiwii,it is what it is
2310,ij,indide joke
2311,ijaf,it's just a fact
2312,ijbol,I just burst out laughing
2313,ijcomk,i just came on my keyboard
2314,ijdk,I just don't know
2315,ijdl,I just died laughing
2316,ijeomk,I just ejaculated on my keybord
2317,ijf,i just farted
2318,ijgl,I just got laid
2319,ijit,idiot
2320,ijk,I'm Just kidding
2321,ijp,Internet job posting
2322,ijpmp,I just peed my pants
2323,ijpms,I just pissed myself
2324,ijr,i just remembered
2325,ijs,I'm just saying
2326,ijsabomomcibstg,I just saved a bunch of money on my car insurance by switching to geico
2327,ik,i know
2328,iki,i know it
2329,ikic,I know I can
2330,ikm,I know man
2331,ikr,I know really
2332,ikt,i knew that
2333,ikwud,I know what you did
2334,ikwum,I know what you meant
2335,Ikwydls,I know what you did last summer
2336,ikwyl,I know where you live
2337,ikwym,i know what you mean
2338,ikykwak,I know you know we all know
2339,ilbbaicnl,I like big butts and I can not lie
2340,ilbcnu,i'll be seeing you
2341,ilcul8r,I'll see you later
2342,ilhsm,i love him/her so much
2343,ili,i love it
2344,ilk2fku,I would like to f**k you
2345,ilml,I Love My Life
2346,ilms,I love my self
2347,ilotibinlirl,"I'm laughing on the internet, but I'm not laughing in real life"
2348,ilshipmp,I laughed so hard I peed my pants
2349,iltf,i love to f**k
2350,iltwummf,i love the way you make me feel
2351,ILTWUT,I love the way you think
2352,iltwymmf,I love the way you make me feel
2353,ilu,I love you
2354,ilu2,I love you too
2355,iluaaf,i love you as a friend
2356,ilul,I love you loads 
2357,ilulafklc,I love you like a fat kid loves cake.
2358,ilum,i love you more
2359,ilusfm,I love you so f**king much
2360,ilusm,I love you So much
2361,iluvm,I Love You Very Much
2362,iluvu,i love you
2363,iluvya,i love you
2364,iluwamh,i love you with all my heart
2365,ilvu,i love you
2366,ily,i love you
2367,ily2,i love you too
2368,ily4e,i love you forever
2369,ily4ev,i love you forever
2370,ilyaas,I Love You As A Sister
2371,ilyal,I like you a lot
2372,ILYASM,I love you all so much 
2373,ilyb,i love you b***h
2374,ilybb,I love you baby
2375,ilybby,i love you baby
2376,ilybtid,I Love You But Then I Don't
2377,ilyf,I'll Love You Forever
2378,ilygsm,i love you guys so much
2379,ilykthnxbai,i love you k thanks bye
2380,ilyl,i love you loads
2381,ilylab,I love you like a brother
2382,ilylabf,I love you like a best friend
2383,ilylafklc,i love you like a fat kid loves cake
2384,ilylas,i love you like a sister
2385,ilylc,i love you like crazy
2386,ilym, i love you more
2387,ilymtyk,i love you more than you know
2388,ilymtylm,i love you more than you love me
2389,ilys,i love you sexy
2390,Ilysb,I love you so bad
2391,ilysfm,i love you so f**king much
2392,ilysfmb,i love you so f**king much baby
2393,ilysm,i love you so much
2394,ilysmih,i love you so much it hurts
2395,ilysmm,i love you so much more
2396,ilysmt,I love you so much too
2397,ilysmydek,I Love You So Much You Don't Even Know
2398,ilysvm,i love you so very much
2399,ilyvm,i love you very much
2400,ilywamh,I love you with all my heart
2401,im,Instant Message
2402,im'd,instant messaged
2403,im26c4u,I am too sexy for you
2404,ima,I am a
2405,imao,in my arrogant opinion
2406,imb,I am back
2407,imcdo,in my conceited dogmatic opinion
2408,imed,instant messaged
2409,imf,in my feels
2410,imfao,In My f**king Arrogant Opinion
2411,imfo,in my f**king opinion
2412,imh,I am here
2413,imhbco,In my humble but correct opinion
2414,imhe,in my humble experience
2415,imho,in my humble opinion
2416,imm,instant message me
2417,imma,I'm going to
2418,imnerho,In my not even remotely humble opinion
2419,imnl,I'm not laughing
2420,imnshmfo,In My Not So Humble Mother f**king Opinion
2421,imnsho,in my not so humble opinion
2422,imo,in my opinion
2423,imoo,in my own opinion
2424,impo,In My Personal Opinion
2425,impov,in my point of view
2426,imr,in my room
2427,imsb,i am so bored
2428,imsry,I am sorry
2429,imtaw,it may take a while
2430,imts,I meant to say
2431,imu,i miss you 
2432,imusm,I miss you so much
2433,imvho,in my very humble opinion
2434,imwtk,Inquiring minds want to know
2435,imy,I miss you
2436,imy2,i miss you to
2437,imya,i miss you already
2438,imym,I miss you more
2439,imysfm,i miss you so f**king much
2440,in2,into
2441,inb4,in before
2442,inbd,it's no big deal
2443,inc,incoming
2444,incld,include
2445,incrse,increase
2446,ind2p,I need to pee
2447,indie,independent
2448,inef,it's not even funny
2449,inet,internet
2450,info,information
2451,inh,I need help
2452,inho,in my honest opinion
2453,inhwh,I need homework help
2454,init,isn't it
2455,inmp,it's not my problem
2456,innit,isn't it
2457,ino,I know
2458,instagib,instant kill
2459,instakill,instant kill
2460,intarwebs,internet
2461,intel,intelligence
2462,interweb,internet
2463,Intl,International
2464,intpftpotm,I nominate this post for the post of the month
2465,inttwmf,I am Not Typing This With My Fingers
2466,invu,I envy you
2467,ioh,I'm out of here
2468,iois,Indicators of Interest
2469,iokiya,it's ok if you are
2470,iomw,I'm on my way
2471,ionno,I don't know
2472,iono,I don't know
2473,iotd,image of the day
2474,iou,i owe you
2475,iow,in other words
2476,ioya,I'd Own Your Ass
2477,ioyk,if only you knew
2478,ip,internet protocol
2479,irc,internet relay chat
2480,ircd,Internet Relay Chat daemon
2481,ircx,Internet Relay Chat eXtension
2482,irdc,I really don't care
2483,irdgaf,i really don't give a f**k
2484,irdk,I really don't know
2485,irgtgbtw,I've really got to get back to work
2486,irhtgttbr,I really have to go to the bathroom
2487,irhy,i really hate you
2488,irl,in real life
2489,irly,I really love you
2490,irt,in reply to
2491,irtf,I'll return the favor
2492,is2g,i swear to god
2493,isb,I'm so bored.
2494,isbya,im sorry but you asked
2495,isd,internet slang dictionary
2496,isdc,I so don't care
2497,ise,internal server error
2498,isfly,i so f**king love you
2499,isg,I speak geek
2500,ishii,i see how it is
2501,isianmtu,I swear I am not making this up
2502,isj,inside joke
2503,iso,In Search Of
2504,isp,internet service provider
2505,iss,im so sorry
2506,Issa,It's a
2507,istfg,I swear to f**king god
2508,istg,i swear to god
2509,istr,I seem to remember
2510,istwfn,I stole this word from noslang.com
2511,iswydt,i see what you did there
2512,ita,I Totally Agree
2513,itb,in the butt
2514,itc,in that case
2515,itd,in the dark
2516,ite,alright
2517,itk,in the know
2518,itn,I think not
2519,itt,in this thread
2520,ittif,I think that is fine
2521,ityltk,I thought you'd like to know
2522,itys, i told you so
2523,itz,it's
2524,itzk,it's ok
2525,iucmd,if you catch my drift
2526,iukwim,if you know what i mean
2527,iunno,I don't know
2528,iuno,i dunno
2529,ive,i have
2530,iw2f,i want to f**k
2531,iw2fu,i want to f**k you
2532,iw2mu,I want to meet you
2533,iwaa,It was an accident
2534,iwbrbl@r,I will be right back later
2535,iwc,In Which Case
2536,iwdt,I will do that
2537,iwfusb,i wanna f**k you so bad
2538,iwfy,I want to f**k you
2539,iwfybo,i will f**k your brains out
2540,iwg,it was good
2541,iwhi,I would hit it
2542,iwhswu,I want to have sex with you
2543,iwiwd,i wish i was dead
2544,iwjk,i was just kidding
2545,iwk,I wouldn't know
2546,iwlu4e,I will love you for ever
2547,iwmu,i will miss you
2548,iwmy,i will miss you
2549,iws,i want sex
2550,iwsn,i want sex now
2551,iwsul8r,I will see you later
2552,iwtfu,i want to f**k you
2553,iwtfy,i want to f**k you
2554,Iwtfysbrn,I want to f**k you so bad right now 
2555,Iwths,I want to have sex
2556,iwthswy,i want to have sex with you
2557,iwtk,I Want to Know
2558,Iwtkms,I want to kill myself
2559,iwtly,i want to love you
2560,iwu,i want you
2561,iwuwh,i wish you were here 
2562,iwy,i want you
2563,iwyb,I want your body
2564,iwyn,I want you now
2565,iwythmb,i want you to have my baby
2566,iya,In your ass
2567,iyam,if you ask me
2568,iyc,if you can
2569,iyd,In Your Dreams
2570,iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
2571,iydmma,if you don't mind me asking
2572,iyf,In your face
2573,iyflg,If You're Feeling Less Generous
2574,iygm,if you get me
2575,iykwim,if you know what I mean
2576,Iykyk,"If you know, you know "
2577,iym,I am your man
2578,iyo,in your opinion
2579,iyq,I like you
2580,iyss,if you say so
2581,iyswim,if you see what I mean
2582,iywt,if you want to
2583,iz,is
2584,j-c,just chilling
2585,j/a,Just Asking
2586,j/c,just curious
2587,j/j,just joking
2588,j/k,just kidding
2589,j/o,jackoff
2590,j/p,just playing
2591,j/s,just saying
2592,j/t,just talking
2593,j/w,just wondering
2594,j00,you
2595,j00r,your
2596,j2bs,just to be sure
2597,j2c,just too cute
2598,j2f,just too funny
2599,j2luk,just to let you know
2600,j2lyk,just to let you know
2601,j4f,just for fun
2602,j4g,just for grins
2603,j4l,just for laughs
2604,j4u,just for you
2605,jalaudlm,just as long as you don't leave me
2606,jas,just a second
2607,jb,jailbait
2608,JBH,Just being honest
2609,jbu,just between us
2610,jc,just curious
2611,jcam,just checking away message
2612,jcath,Just chilling at the house
2613,jdfi,Just f**king do it
2614,jdi,just do it
2615,jebus,Jesus
2616,jeomk,Just ejaculated on my keyboard
2617,jf,just fooling
2618,jfa,just f**king around
2619,jfc,Jesus f**king Christ
2620,jfdi,Just f**king Do It!
2621,jff,just for fun
2622,jfg,just for giggles
2623,jfgi,just f**king google it
2624,jfi,just forget it
2625,jfj,jump for joy
2626,jfk,Just f**king kidding
2627,jfl,just for laughs
2628,jflts,just felt like typing something
2629,jfn,just for now
2630,jfo,just f**k off
2631,jfr,Just for reference
2632,jftr,just for the record
2633,jfu,just for you
2634,jfwy,just f**king with you
2635,jg2h,just go to hell
2636,jgiyn,Just google it you noob
2637,jgs,just getting started
2638,jgtfooh,just get the f**k out of here
2639,jh,Just hanging
2640,jhm,just hold me
2641,jho,just hanging out
2642,jic,just in case
2643,jit,just in time
2644,jizz,semen
2645,jj,just joking
2646,jj/k,just joking
2647,jja,just joking around
2648,jk,just kidding
2649,jka,just kidding around
2650,jking,joking
2651,jkl,just kidding loser
2652,jklol,Just Kidding Laughing Out Loud
2653,jkn,joking
2654,jks,jokes
2655,jkz,jokes
2656,jlma,just leave me alone
2657,jlt,just like that
2658,jm,Just Messing
2659,jma,just messing around
2660,jml,just my luck
2661,jmo,just my opinion
2662,jms,just making sure
2663,jom,just one minuite
2664,joo,you
2665,jooc,just out of curiosity
2666,jooce,Juice
2667,joor,your
2668,jp,just playing
2669,js,just saying
2670,jsa,just stop already
2671,jsing,just saying
2672,jst,just
2673,jsuk,just so you know
2674,jsun,Just so you know
2675,jsut,just
2676,jsyk,Just so you know
2677,jsyn,just so you know
2678,jtay,just thinking about you
2679,jtbs,Just To Be Sure
2680,jtc,Join the club
2681,jtfo,joke the f**k out
2682,jtluk,just to let you know
2683,jtlyk,just to let you know
2684,jtoi,just thought of it
2685,jtol,just thinking out loud
2686,Jts,Just to say
2687,jttsiowctw,just testing to see if other websites copy this word
2688,jtty,just to tell you
2689,jtumltk,just thought you might like to know
2690,jtwii,just the way it is.
2691,jtwiw,just the way it was.
2692,jtyltk,just thought you'd like to know
2693,jtysk,just thought you should know
2694,jumping the couch,acting strange
2695,jus,just
2696,juss,just
2697,juz,just
2698,juzt,just
2699,jw,just wondering
2700,jw2k,just wanted to know
2701,jwas,just wait a second
2702,jwing,just wondering
2703,jwtlyk,Just wanted to let you know
2704,jyfihp,jam your finger in her p***y
2705,k,ok
2706,k3wl,cool
2707,ka,Kick Ass
2708,kafn,kill all f**king noobs
2709,kah,kisses and hugs
2710,kaw,kick ass work
2711,kay,okay
2712,kb,KiloBite
2713,kcco,keep calm chive on
2714,kdr,kill death ratio
2715,kek,laughing out loud
2716,kewel,cool
2717,kewl,cool
2718,kfc,kentucky fried chicken
2719,khitbash,kick her in the box and shove her
2720,khuf,know how you feel
2721,kia,Killed In Action
2722,kib,"okay, im back"
2723,kic,keep it clean
2724,kicks,sneakers
2725,kig,keep it going
2726,kiled,killed
2727,kinda,kind of
2728,kir,kid in room
2729,kis,keep it simple
2730,kisa,knight in shining armor
2731,kit,keep in touch
2732,kitfo,knock it the f**k off
2733,kitteh,kitten
2734,kiu,Keep it up
2735,kiwf,Kill It With Fire
2736,kk,ok
2737,kkk,ku klux klan
2738,kkthnxbye,okay thanks bye
2739,kky,kinky
2740,kl,cool
2741,km,kiss me
2742,kma,kiss my ass
2743,kmag,kiss my ass goodbye
2744,kmao,kick my ass off
2745,kmb,kiss my butt
2746,kmfa,kiss my f**king ass
2747,kmhba,kiss my hairy big ass
2748,kml,Killing Myself Laughing
2749,kmn,kill me now
2750,kmp,kill me please
2751,kms,Kill myself
2752,kmsl,killing myself laughing
2753,kmswl,killing myself with laughter
2754,kmu,Kinda miss you
2755,knackered,drunk
2756,knewb,new player
2757,knn,f**k your mother
2758,kno,know
2759,knw,know
2760,ko,knock out
2761,kol,kiss on lips
2762,koo,cool
2763,kool,cool
2764,kos,kid over shoulder
2765,kotc,kiss on the cheek
2766,kotd,kicks of the day
2767,kotl,kiss on the lips
2768,kotor,Knights of the old republic
2769,kots,keep on talking s**t
2770,kpc,keeping parents clueless
2771,Kpop,Korean Popular Music
2772,kq,keep quiet 
2773,ks,kill steal
2774,kss,kiss
2775,kssd,kissed
2776,ksw,Ok so what
2777,kt,keep talking
2778,ktc,kill the cat
2779,ktfo,knocked the f**k out
2780,kthanxbi,"Okay, thanks. Bye."
2781,kthnxbai,"Okay, thanks, bye"
2782,kthnxbye,"Okay, thanks, bye"
2783,kthx,"ok, thank you"
2784,kthxbai,ok thanks bye!
2785,kthxbi,"ok, thank you, goodbye"
2786,kthxbye,"ok, thank you, goodbye"
2787,kthxgb,ok thanks goodbye
2788,kthxmn,Ok Thanks Man
2789,kthz,ok thanks
2790,ktnx,Okay and Thanks
2791,kuhl,cool
2792,kul,cool
2793,kute,cute
2794,kutgw,Keep Up The good Work
2795,kuwl,cool
2796,kwik,quick
2797,kwim,Know What I Mean
2798,kwis,Know what I'm saying?
2799,kwit,quit
2800,kwiz,quiz
2801,kwl,cool
2802,kwtsds,Kiss where the sun don't shine
2803,kyag,Kiss Your Ass Goodbye
2804,kyfag,kiss your f**king ass goodbye
2805,kyfc,keep your fingers crossed
2806,kyko,keep your knickers on
2807,kyms,keep your mouth shut
2808,kys,kill yourself
2809,ilyt,i love you too
2810,ilyttmab,i love you to the moon and back
2811,L,loss
2812,l0lz,laugh out loud
2813,l2,learn to
2814,l2m,listening to music
2815,l2ms,laughing to myself
2816,l2p,learn to play
2817,l2r,Learn to read
2818,l337,elite
2819,l33t,elite
2820,l4l,like for like
2821,l4m3rz,lamers
2822,l8,late
2823,l84skool,late for school
2824,l8a,later
2825,l8er,later
2826,l8ers,Later
2827,l8r,see you later
2828,l8rs,laters
2829,l8rz,later
2830,l8s,later
2831,l8t,later
2832,l8ta,later
2833,l8ter,later
2834,l8tr,later
2835,l@u,laughing at you
2836,laff,laugh
2837,lafs,love at first sight
2838,lak,love and kisses
2839,lal,laughing a little
2840,lalol,lots and lots of laughs
2841,lam,leave a message
2842,lamf,like a motherf**ker
2843,lan,local area network
2844,lappy,Laptop
2845,larp,live action role-play
2846,lasb,Lame Ass Stupid b***h
2847,lat,laugh at that
2848,lata,later
2849,lates,later
2850,latn,laugh at the newbs
2851,latr,Later
2852,latwttb,laughing all the way to the bank
2853,lau,laugh at you
2854,lawd,lord
2855,lawl,lauging out loud with a southern drawl
2856,lawl'd,laughed out loud
2857,lawled,laughed out loud
2858,lawls,laughing out loud with a southern drawl
2859,lawlz,laughing out loud with a southern drawl
2860,lazer,laser
2861,lazor,laser
2862,lbf,lets be freinds
2863,lbh,let's be honest
2864,lbnr,laughing but not really
2865,lbo,laughing butt off 
2866,lbr,little boy's room
2867,Lbs,Laughing but serious 
2868,lbvs,laughing but very serious
2869,lcsnpc,low cost small notebook personal computer
2870,ldr,Long-distance relationship
2871,ldt,lets do this
2872,lee7,elite
2873,leet,elite
2874,legit,legitimate
2875,leik,like
2876,leme,let me
2877,lemme,let me
2878,lesbo,lesbian
2879,less than 3,love
2880,less than three,love
2881,lez,Lesbian
2882,lezbean,lesbian
2883,lezbo,lesbian
2884,lezzzie,lesbian
2885,lf,looking for
2886,lf1m,Looking for one more
2887,lf2m,looking for 2 more
2888,lfg,Looking for group
2889,lfl,let's f**k later
2890,lfm,looking for mate
2891,lfnar,laughing for no aparent reason
2892,lfp,looking for p***y
2893,lfr,Laughing for real
2894,lgb,lesbian/gay/bisexual
2895,lgbnaf,lets get butt naked and f**k
2896,lgbtq,"Lesbien, Gay, Bisexual, Transgender and Queer."
2897,lgds,let's go do something
2898,lgf,little green footballs
2899,lggd,let's go get drunk
2900,LGGSF,Let’s Go Get Some Food
2901,lgn,link goes nowhere
2902,lgo,life goes on
2903,lgot,let's go out tonight
2904,lgr,little girls room
2905,lgs,let's go shopping!
2906,lgtm,looks good to me
2907,lhao,laughing her ass off
2908,Lhm,"lord, have mercy"
2909,lhs,lets have sex
2910,lhsrn,let's have sex right now
2911,lia,life is awesome
2912,liaoyb,Like it's any of your business
2913,lic,like i care
2914,liec,like i even care
2915,liek,like
2916,liekz,likes
2917,lifo,last in first out
2918,ligad,Like I give a damn
2919,ligaff,like I give a flying f**k
2920,ligafs,like I give a flying s**t
2921,ligas,like I give a s**t
2922,lih,Laugh in head
2923,liita,love is in the air
2924,lik,like
2925,lil,little
2926,lim,Like it Matters
2927,limh,laugh in my head
2928,liol,laugh insanely out loud
2929,lirl,laughing in real life
2930,liu,Look It Up
2931,liv,live
2932,liyf,laughing in your face
2933,lj,live journal
2934,lk,like
2935,lke,like
2936,llab,Laughing like a b***h.
2937,llap,live long and prosper
2938,llc,laughing like crazy
2939,llf,laugh like f**k
2940,llh,laughing like hell
2941,llol,literally laughing out loud
2942,lltnt,live like theres no tomorrow 
2943,lm4aq,Let's meet for a quickie.
2944,lma,leave me alone
2945,lmamf,leave me alone mother f**ker
2946,lmao,laughing my ass off
2947,lmaol,laughing my ass out loud
2948,lmaomtoaoa,Laugh my ass off many times over and over again
2949,lmaonade,laughing my ass off
2950,lmaool,laughing my ass off out loud 
2951,lmaootf,Laughing my ass off on the floor 
2952,lmaorof,Laughing my Ass off Rolling on the floor
2953,lmaorotf,laughing my ass off rolling on the floor
2954,lmaowrotf,Laughing my ass of while rolling on the floor
2955,lmaowtntpm,laughing my ass off whilst trying not to piss myself
2956,lmaoxh,laughing my ass off extremely hard
2957,lmap,leave me alone please
2958,lmb,lick my balls
2959,lmbao,laughing my black ass off
2960,lmbfwao,laughing my big fat white ass off
2961,lmbo,laughing my butt off
2962,lmcao,laughing my crazy ass off
2963,lmclao,laughing my cute little ass off
2964,lmd,Lick My d**k
2965,lmfao,laughing my f**king ass off
2966,lmfaorotg,laugh my f**king ass off rolling off the ground
2967,lmfbo,laugh my f**king butt off
2968,lmffao,laughing my f**king fat ass off
2969,lmffo,Laughing my f**king face off
2970,lmfho,laughing my f**king head off
2971,lmfo,laughing my face off
2972,lmfpo,laughing my f**king p***y off
2973,lmfr,Lets Meet For Real
2974,lmfto,laughing my f**kin tits off
2975,lmg,let me guess
2976,lmgdao,Laughing My God Damn Ass Off
2977,lmgtfy,Let me Google that for you
2978,lmhao,laughing my hairy ass off
2979,lmho,laughing my heiny off
2980,Lmhoirl,Laughing My Head Off In Real Life
2981,lmip,LETS MEET IN PERSON
2982,lmirl,Let's meet in real life
2983,lmk,let me know
2984,lmks,Let Me Know Soon
2985,lmkwc,Let me know when clear
2986,lmkwut,let me know what you think
2987,lml,love my life
2988,lmmfao,laughing my mother f**king ass off
2989,lmmfaos,laughing my mother f**king ass off silly
2990,lmmfas,laugh my mother f**kin ass off
2991,lmmffao,laughing my mother f**king fat ass off
2992,lmo,Leave Me One
2993,lmoao,Laughing my Other Ass Off
2994,lmp,lick my p***y
2995,lmpitw,let me put it this way
2996,lmpo,laughing my panties off
2997,lmreo,laughing my rear end off
2998,lms,leave me some
2999,lmsao,laughing my sexy ass off
3000,lmso,laughing my socks off
3001,lmtd,limited
3002,lmtfa,leave me the f**k alone
3003,lmto,laughing my tits off
3004,lmtus,let me tell you something
3005,lmty,laughing more than you
3006,lmvo,laugh my vagina off
3007,ln,last name
3008,lnk,Link
3009,lobfl,Laugh Out Bloody f**king Loud
3010,lobl,laugh out bloody loud
3011,lof,Laughing on floor
3012,lofi,uncool
3013,lofl,laugh out f**king loud
3014,loflmao,laying on floor laughing my ass off
3015,loi,laughing on the inside
3016,lol,laughing out loud
3017,lol'd,laughed out loud
3018,lol2u,Laugh out loud to you
3019,lol@u,Laugh out loud at you
3020,lolarotf,laughing out loud and rolling on the floor
3021,lolaw,laugh out loud at work
3022,lolbs,laugh out loud but seriously
3023,Lolbvs,Laughing out loud but very serious
3024,lolcano,laugh out loud
3025,lolci,"laughing out loud, crying inside"
3026,lolcity,the whole city laughs out loud
3027,lold,laughed out loud
3028,loled,Laughed out loud
3029,lolees,laugh out loud
3030,lolerz,laugh out loud
3031,lolf,lots of love forever
3032,lolin,laughing out loud
3033,lolio,laugh out loud I own
3034,lollam,Laughing Out Loud Like A Maniac
3035,lollercaust,an extreme event of hilarity
3036,lollercoaster,laugh out loud (a lot)
3037,lollerskates,laughing out loud
3038,lolm,laugh out loud man
3039,lolmao,laughing out loud laugh my ass off
3040,loln,laught out loud... not
3041,lolngs,laghing out loud never gonna stop
3042,lolocost,laugh out loud
3043,lolol,"saying ""lol"" out loud"
3044,lololz,laugh out loud
3045,lolpimp,Laughing out loud peeing in my pants
3046,lolq,laugh out loud quietly
3047,lolrof,Laughing out loud while rolling on the floor.
3048,lolrotf,laughing out loud rolling on the floor
3049,lols,laugh out loud 
3050,lolvq,laugh out loud very quietly
3051,lolwtime,laughing out loud with tears in my eyes
3052,lolz,laugh out loud
3053,Lolzies,Laughing out loud
3054,lomg,like oh my god
3055,loml,love of my life
3056,lomy,love of my life
3057,loomm,laughing out of my mind
3058,lorl,laugh out real loud
3059,lorrl,laugh out really really loud
3060,lotf,laughing on the floor
3061,loti,laughing on the inside
3062,loto,laughing on the outside
3063,lotr,lord of the rings
3064,lov,love
3065,lovu,love you
3066,loxen,laughing out loud
3067,loxxen,laughing out loud
3068,lozer,loser
3069,lpb,low ping b*****d
3070,lpiaw,Large Penis is always welcome
3071,lpms,life pretty much sucks
3072,lq,Laughing Quietly
3073,lq2m,laughing quietly to myself
3074,lqtm,Laugh quietly to myself
3075,lqtms,Laughing quietly to myself
3076,lqts,laughing quietly to self
3077,lrfl,Laughing really f**king loud
3078,lrh,laughing really hard
3079,lrqtms,laughing really quietly to myself
3080,lrt,last retweet
3081,lsfw,Less Safe For Work
3082,lshic,laughing so hard i'm crying
3083,lshid,laugh so hard i die
3084,lshifabmh,Laughing so hard I fell and broke my hip
3085,lshipmp,Laughing so Hard I Piss My Pants
3086,lshismp,laughed so hard I s**t my pants
3087,lshiwms,laughing so hard I wet myself
3088,lshmson,laughing so hard milk shot out nose
3089,lshrn,laughing so hard right now
3090,lsmih,laughing so much it hurts
3091,lsr,loser
3092,lsudi,Lets see you do it
3093,lt,long time
3094,ltb,looking to buy
3095,lthtt,laughing too hard to type
3096,ltip,laughting until I puke
3097,ltl,Let's talk later
3098,ltm,listen to me
3099,ltmq,Laugh To Myself Quietly
3100,ltms,Laughing to my self
3101,ltnc,Long time no see
3102,ltns,long time no see
3103,ltnsoh,"Long time, no see or hear"
3104,ltnt,long time no talk
3105,ltp,Lay the pipe
3106,ltr,later
3107,lttpot,laughing to the point of tears
3108,ltw,Lead The Way
3109,ltywl,love the way you lie
3110,lu,love you
3111,lu2,love you too
3112,lu2d,love you to death
3113,lu4l,love you for life
3114,Luaaf,Love you always and forever 
3115,lub,laugh under breath
3116,luf,love
3117,luff,Love
3118,lug,lesbian until graduation
3119,luk,look
3120,lukin,looking
3121,lul,love you lots
3122,lulab,Love you like a brother
3123,lulas,Love You Like a Sister
3124,lulz,Laughing out loud.
3125,lumumi,Love you miss you mean it
3126,lurker,one who reads but doesn't reply
3127,lurve,love
